date,store_id,city,sku_id,product_name,customer_demand,predicted_demand,absolute_error,category,ending_inventory,demand_mean_28,demand_std_28,base_price,safety_stock,lead_time_demand,reorder_point,target_stock,inventory_cover_days,recommended_order_qty,risk_level,recommended_action
2026-07-31,ST003,Mumbai,SKU002,Bath Soap 100g,46,45.41,0.5864181518554688,Personal Care,96,47.32,8.34,55,23.85,136.24,160.09,477.98,2.11,382,HIGH,Order immediately
2026-07-31,ST002,Bengaluru,SKU002,Bath Soap 100g,43,42.93,0.0691680908203125,Personal Care,78,46.93,7.42,55,21.2,128.79,149.99,450.51,1.82,373,HIGH,Order immediately
2026-07-31,ST001,Chennai,SKU002,Bath Soap 100g,41,41.65,0.650482177734375,Personal Care,79,45.0,6.2,55,17.72,124.95,142.67,434.22,1.9,356,HIGH,Order immediately
2026-07-31,ST004,Delhi,SKU002,Bath Soap 100g,50,38.92,11.077484130859377,Personal Care,69,40.61,7.22,55,20.64,116.77,137.41,409.87,1.77,341,HIGH,Order immediately
2026-07-31,ST005,Hyderabad,SKU002,Bath Soap 100g,32,37.2,5.1981964111328125,Personal Care,65,39.14,5.72,55,16.35,111.59,127.94,388.33,1.75,324,HIGH,Order immediately
2026-07-31,ST001,Chennai,SKU004,Dishwash Liquid 500ml,31,35.56,4.559165954589844,Home Care,58,29.54,7.64,125,21.83,106.68,128.5,377.42,1.63,320,HIGH,Order immediately
2026-07-31,ST003,Mumbai,SKU003,Laundry Detergent 1kg,27,36.52,9.519641876220703,Home Care,79,38.21,7.88,220,22.51,109.56,132.07,387.7,2.16,309,HIGH,Order immediately
2026-07-31,ST001,Chennai,SKU003,Laundry Detergent 1kg,31,34.02,3.0192947387695312,Home Care,55,37.29,5.61,220,16.03,102.06,118.09,356.23,1.62,302,HIGH,Order immediately
2026-07-31,ST001,Chennai,SKU005,Instant Coffee 100g,26,29.89,3.894968032836914,Beverages,14,24.61,5.17,185,14.79,89.68,104.47,313.74,0.47,300,HIGH,Order immediately
2026-07-31,ST004,Delhi,SKU003,Laundry Detergent 1kg,33,31.2,1.795541763305664,Home Care,45,32.39,7.46,220,21.31,93.61,114.92,333.35,1.44,289,HIGH,Order immediately
2026-07-31,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,35,34.54,0.4579696655273437,Home Care,78,37.54,6.62,220,18.92,103.63,122.54,364.34,2.26,287,HIGH,Order immediately
2026-07-31,ST004,Delhi,SKU001,Shampoo 340ml,19,31.38,12.375057220458984,Personal Care,44,22.96,5.38,329,15.37,94.13,109.5,329.12,1.4,286,HIGH,Order immediately
2026-07-31,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,28,30.05,2.0472850799560547,Home Care,50,31.32,5.51,220,15.75,90.14,105.89,316.22,1.66,267,HIGH,Order immediately
2026-07-31,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,26,30.77,4.772024154663086,Home Care,61,32.93,5.88,125,16.81,92.32,109.12,324.53,1.98,264,HIGH,Order immediately
2026-07-31,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,24,31.29,7.28851318359375,Home Care,75,33.93,6.01,125,17.16,93.87,111.03,330.05,2.4,256,HIGH,Order immediately
2026-07-31,ST004,Delhi,SKU004,Dishwash Liquid 500ml,36,26.69,9.305906295776367,Home Care,37,28.57,5.95,125,17.0,80.08,97.08,283.94,1.39,247,HIGH,Order immediately
2026-07-31,ST002,Bengaluru,SKU001,Shampoo 340ml,21,25.47,4.467617034912109,Personal Care,40,27.14,6.32,329,18.07,76.4,94.47,272.75,1.57,233,HIGH,Order immediately
2026-07-31,ST002,Bengaluru,SKU005,Instant Coffee 100g,31,24.13,6.872455596923828,Beverages,33,24.36,5.79,185,16.56,72.38,88.94,257.83,1.37,225,HIGH,Order immediately
2026-07-31,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,23,25.15,2.1495304107666016,Home Care,45,27.46,5.5,125,15.72,75.45,91.17,267.22,1.79,223,HIGH,Order immediately
2026-07-31,ST001,Chennai,SKU001,Shampoo 340ml,20,24.18,4.179853439331055,Personal Care,41,24.5,5.17,329,14.79,72.54,87.33,256.59,1.7,216,HIGH,Order immediately
2026-07-31,ST003,Mumbai,SKU005,Instant Coffee 100g,23,23.64,0.6363735198974609,Beverages,47,25.36,6.3,185,17.99,70.91,88.9,254.36,1.99,208,HIGH,Order immediately
2026-07-31,ST005,Hyderabad,SKU005,Instant Coffee 100g,13,20.67,7.668210983276367,Beverages,18,21.93,4.55,185,12.99,62.0,75.0,219.67,0.87,202,HIGH,Order immediately
2026-07-31,ST003,Mumbai,SKU001,Shampoo 340ml,17,25.03,8.030265808105469,Personal Care,62,27.82,4.37,329,12.49,75.09,87.59,262.8,2.48,201,HIGH,Order immediately
2026-07-31,ST005,Hyderabad,SKU001,Shampoo 340ml,24,21.66,2.3409366607666016,Personal Care,43,22.43,4.69,329,13.39,64.98,78.37,229.98,1.99,187,HIGH,Order immediately
2026-07-31,ST004,Delhi,SKU005,Instant Coffee 100g,21,20.81,0.1868610382080078,Beverages,44,19.18,4.26,185,12.18,62.44,74.62,220.31,2.11,177,HIGH,Order immediately
